the_geom,feature,clugar,lugar,tipo,ubicacion,fechasuce,url,numvictima,municipio,radio,cartodb_id,created_at,updated_at
0101000020E61000001D9E362DB435F8BF552CA6FE717C4540,50200001,227,Fosa de Zokolu (Eugi),No intervenida,"Esta fosa se encuentra actualmente bajo las aguas del embalse de Eugi, en las proximidades de la pared del embalse y bajo la actual carretera.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=227,1,Esteribar,25,132,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000E3C030ED6C4EF8BF74FA53E4D67C4540,50200001,228,Fosa de Iroxo (Eugi),No intervenida,El paraje de Iroxo se encuentra actualmente bajo las aguas del embalse de Eugi.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=228,1,Esteribar,25,133,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000014450EC3AE3FF8BF265D80035E7B4540,50200001,229,Fosa del Cementerio de Urtasun,Intervenida,Cementerio de Urtasun.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=229,5,Esteribar,10,134,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000008A51416B7E07F9BF6253ABB6706F4540,50200001,230,Fosa de Peña Redonda (Antxoritz),Intervenida,"La fosa se encuentra en un campo de labor, junto a la regata de Ilurdoz.",01/08/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=230,6,Esteribar,10,135,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000001A704EA21BFEF8BFCB4C8915576F4540,50200001,231,Fosa de Etxeberria (Antxoritz),Prospectada,Finca particular donde se localizaría la fosa.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=231,10,Esteribar,25,136,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000008175CC796CF5F8BFBFD0F9062D6F4540,50200001,232,Fosa de Seminario Regueiro (Antxoritz),Prospectada,Lugar próximo a la regata de Ilurdoz.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=232,7,Esteribar,25,137,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000A004B4155FCC00C0A88EDCB04F374540,50200001,233,Fosa de la Corraliza de Oliado,Intervenida,Se encontraba en una parcela junto a la carretera NA-129.,15/08/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=233,4,Lodosa,25,138,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000C770C7E2C3BBFFBF74D8B51E63314540,50200001,234,Fosa de El Mallatón,Intervenida,Término de Cárcar donde se localizaron los restos.,04/08/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=234,5,Cárcar,50,139,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000361F4D3211CCF6BF79CBAF101E734540,50200001,236,Sima de Ardaitz,Prospectada,"La sima, de 37 metros de profundidad, se encuentra en la Sierra de Labia.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=236,2,Erro,50,140,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000AA0E813F82D8F7BF50395CD963664540,50200001,1133,Fosa de Uroz,Intervenida,"La fosa está ubicada en el paraje Amaia, a pocos metros del casco urbano de Uroz. Se encuentra ubicada entre la Carretera NA-150 Pamplona-Aóiz-Lumbier, (aproximadamente km 9.5), la antigua Vía del Ferrocarril del Irati y la Regata de Amaia.",15/08/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=1133,3,Lizoain-Arriasgoiti,50,141,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000010C43A27B869F8BF8B7763EF7B694540,50200001,1134,Fosa de Echalaz,Intervenida,"La fosa está localizada en el paraje Urandia, a pocos metros del casco urbano de Echálaz, en un campo entre el Río Urbi, hacía el km 7 de la Carretera NA-150 Pamplona-Aóiz-Lumbier y cerca de la fuente llamada “Fuente de la Loba”.",15/08/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=1134,1,Valle de Egüés,25,142,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000009CB6D974C7E3FBBF299EDBFAE5684540,50200001,1135,Cementerio de Ororbia,Intervenida,La fosa estuvo ubicada en el cementerio que se encuentra en el paraje Aizburua en el km 7.5 aproximadamente de la carretera NA-700 Pamplona-Estella.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=1135,1,Cendea de Olza <> Oltza Zendea,25,143,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000004A3E09718EF0F8BF7A5C3E6D70434540,50200001,1136,Cementerio de San Martín de Unx,Intervenida,El cementerio se encuentra ubicado en el paraje “Camposanto”. Entre el casco urbano y la Ermita de San Miguel.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=1136,4,San Martín de Unx,25,144,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000002557E9F41724FBBF2B5D83854A644540,50200001,1138,Fosa paraje Las Tetas (Zizur),Prospectada,"El sitio se ubica en el paraje conocido como ""Las Tetas"", a escasos metros de la vieja carretera que antiguamente conducía a Galar, hoy camino de servicio para las parcelas.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=1138,3,Zizur Mayor <> Zizur Nagusia,250,145,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000F5A023B7BDB1FEBF6547F30B63564540,50200001,1139,Fosa paraje Lezondoa,Prospectada,"La fosa se encuentra en el llamado Paraje Lezondoa, a un lado de la carretera NA-111 Pamplona-Logroño.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=1139,6,Cirauqui <> Zirauki,250,146,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000DFF89C9F81AAF7BF5157DDD36E604540,50200001,1140,Fosa de Artaiz,Prospectada,"Se encuentra ubicada en el paraje Arrueta, en el desvío que se encuentra hacía el punto km 15 de la NA-234 Campanas-Urrotz. Cerca de la antigua regata.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=1140,2,Unciti,100,147,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
