latitude,longitude,html,popup,icon,type
41.16344262654167,0.7587164640426636,<a href='/ca/bellmunt-del-priorat-cementiri'><span class='titol'>Bellmunt del Priorat - Priorat</span><span class='punt'>Cementiri Bellmunt del Priorat</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.167008544275355,0.7044339179992676,<a href='/ca/molar-cementiri'><span class='titol'>Molar - Priorat</span><span class='punt'>Cementiri El Molar</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.183719,0.5671799,<a href='/ca/asco-desconegut'><span class='titol'>AscÃ³ - Ribera d'Ebre</span><span class='punt'>Terme municipal d'AscÃ³</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.09404026859083,0.6332910060882568,<a href='/ca/mora-debre-cementiri'><span class='titol'>MÃ³ra d'Ebre - Ribera d'Ebre</span><span class='punt'>Cementiri de MÃ³ra d'Ebre</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.0420942,0.6326027,<a href='/ca/ginestar-desconegut'><span class='titol'>Ginestar - Ribera d'Ebre</span><span class='punt'>Terme municipal de Ginestar</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
40.9940747,0.9206191,<a href='/ca/hospitalet-de-linfant-entorn-la-localitat'><span class='titol'>Hospitalet de l'Infant - Baix Camp</span><span class='punt'>Entorn la localitat d'Hospitalet de l'Infant</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
40.88886035783298,0.8097052574157715,<a href='/ca/ametlla-de-mar-cementiri-i-voltant-masia-ponts'><span class='titol'>Ametlla de Mar - Baix Ebre</span><span class='punt'>Cementiri de l'Ametlla de Mar i voltant de la Masia Ponts</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
40.727157135241676,0.722699761390686,<a href='/ca/deltebre-cementiri'><span class='titol'>Deltebre - Baix Ebre</span><span class='punt'>Cementiri Deltebre</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
40.838688260940394,0.44442862272262573,<a href='/ca/els-reguers-cementiri'><span class='titol'>Tortosa - Baix Ebre</span><span class='punt'>Cementiri dels Reguers</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.33548131750594,0.4446914792060852,<a href='/ca/almatret-prop-de-300m-del-mas-redons-de-tarrago'><span class='titol'>Almatret - SegriÃ </span><span class='punt'>Almatret: Prop de 300m del Mas Redons de TarragÃ³</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.30896427432467,0.3743934631347656,<a href='/ca/almatret-la-cadolla-a-2-km-del-riu-ebre-'><span class='titol'>Almatret - SegriÃ </span><span class='punt'>Almatret: La cadolla.</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.37508569524689,2.077360153198242,<a href='/ca/esplugues-de-llobregat-cementiri'><span class='titol'>Esplugues de Llobregat - Baix Llobregat</span><span class='punt'>Cementiri d'Esplugues de Llobregat</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.354528492201055,1.7842215299606323,<a href='/ca/avinyonet-del-penedes-cementiri'><span class='titol'>Avinyonet del PenedÃ¨s - Alt PenedÃ¨s</span><span class='punt'>Cementiri d'Avinyonet del PenedÃ¨s</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.25200805168498,1.6019225120544434,<a href='/ca/castellet-i-la-gornal-fora-cementiri'><span class='titol'>Castellet i la Gornal - Alt PenedÃ¨s</span><span class='punt'>Cementiri Clariana o de la Gornal</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
41.389913768298356,1.5727829933166504,<a href='/ca/torrelles-de-foix-cementiri-entrant-a-la-esquerra'><span class='titol'>Torrelles de Foix - Alt PenedÃ¨s</span><span class='punt'>Cementiri de Torrelles de Foix</span></a>,false,/img/mapa/ico_map_probable.png|/img/mapa/ico_map_shadow_probable.png|20|25|30|23|10|25|16|0,probable
